instance,strategy,objective,z_eff,z_eq,transit_share,transit_ridership,private_flow,avg_access_min,avg_access_increase_min,coverage,max_zone_access_increase,retained_stops,avg_frequency,avg_wait_min,avg_ivh_min,runtime_sec,mip_gap,kkt_residual,fixed_point_iters,feasible,y_pattern,freq_pattern,strategy_short,mu_car,mu_ebike
route438_mu_c0.0035_e0.0118,Current practice,11.38989019015765,11.38989019015765,1.0292517175900214e-16,0.28026302397175407,2992.7526676650077,7685.615664804889,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.73629991198656,0.013026700355112553,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.0035,0.011777777777777776
route438_mu_c0.0035_e0.0118,Stop-only MILP,10.82474508384005,10.727138336141216,0.48803373849416665,0.3166418611986096,3381.219403712912,7297.149168398263,6.939859127565801,0.48803373849416665,1.0,1.1578842455816678,24,3.7,8.55,37.710092171207194,1.1223462000489235,0.00746548869651229,,18,True,101101101111101111111101110111,"3,5,5,3,3,3,3,4,5,3",S,0.0035,0.011777777777777776
route438_mu_c0.0035_e0.0118,Frequency-only MILP,10.874643985799853,10.874643985799853,1.0292517175900214e-16,0.3087562069744848,3297.013458950424,7381.355068053425,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.1,6.1,40.66112698723255,0.9783904999494553,4.3644593784152846e-05,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,3",F,0.0035,0.011777777777777776
route438_mu_c0.0035_e0.0118,Joint MILP,10.29786585275985,10.151924265383053,0.7297079368839822,0.3467651975387504,3702.887577820719,6975.481178830767,7.181533325955615,0.729707936883982,1.0,1.4394140626286105,24,5.4,5.885714285714285,37.64320311144168,2.690722200088203,0.05412565443801252,,18,True,101010101111101111111111111011,"5,7,7,5,5,5,5,5,7,3",MILP,0.0035,0.011777777777777776
route438_mu_c0.0035_e0.0138,Current practice,11.36044064000347,11.36044064000347,1.0292517175900214e-16,0.28181513173685696,3009.326650877946,7669.04179120036,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,41.300277028661824,0.013646400067955256,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.0035,0.013833333333333331
route438_mu_c0.0035_e0.0138,Stop-only MILP,10.932338410516497,10.837069379594013,0.4763451546124206,0.31007381176126664,3311.0833322597446,7367.285298154406,6.928170543684055,0.47634515461242044,1.0,1.1578842455816678,25,3.7,8.55,38.810606383184066,1.1271623000502586,0.0068484404095076725,,18,True,101011101111111111111111010111,"3,5,5,3,3,3,3,4,5,3",S,0.0035,0.013833333333333331
route438_mu_c0.0035_e0.0138,Frequency-only MILP,10.845127336990176,10.845127336990176,1.0292517175900214e-16,0.31033844690095486,3313.9092045743873,7364.4594334536105,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.1,6.1,41.20288631885579,1.0600984003394842,0.00922447507342194,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,3",F,0.0035,0.013833333333333331
route438_mu_c0.0035_e0.0138,Joint MILP,10.80948462241968,10.734455755156759,0.37514433631460564,0.31709215295077064,3386.02778629371,7292.3408571680875,6.826969725386239,0.37514433631460553,1.0,1.3277953372173068,24,4.9,7.357142857142857,38.344690628452604,2.7073922003619373,0.06362317745324884,,18,True,101011111111101111111110101011,"5,7,7,5,2,5,5,5,6,2",MILP,0.0035,0.013833333333333331
route438_mu_c0.0035_e0.0159,Current practice,11.331347022744021,11.331347022744021,1.0292517175900214e-16,0.28335413350846306,3025.7606834243857,7652.607858458515,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,41.86068798490364,0.013005099724978209,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.0035,0.015888888888888886
route438_mu_c0.0035_e0.0159,Stop-only MILP,11.07438855477617,11.07438855477617,1.0292517175900214e-16,0.2974252221705604,3176.016994562621,7502.351644653477,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,28,3.7,8.55,40.8219723683802,1.4470616998150945,0.007447314665694186,,18,True,101111111111111111111111111011,"3,5,5,3,3,3,3,4,5,3",S,0.0035,0.015888888888888886
