instance,strategy,objective,z_eff,z_eq,transit_share,transit_ridership,private_flow,avg_access_min,avg_access_increase_min,coverage,max_zone_access_increase,retained_stops,avg_frequency,avg_wait_min,avg_ivh_min,runtime_sec,mip_gap,kkt_residual,fixed_point_iters,feasible,y_pattern,freq_pattern,n_stops,instance_id,origins,destinations,od_pairs,periods,total_demand
synthetic_16_stops_s411,Greedy removal,7.640051291390111,7.640051291390111,1.8234938897388472e-16,0.46065238744886505,5124.8734905977635,6000.373313656239,8.24935014766386,4.174897341975268e-17,0.9999999999999999,0.0,13,2.8333333333333335,11.666666666666666,32.32204925414335,0.1392495003528893,,,17,True,1111011110111011,"4,3,4,2,2,2",16,I12,11,14,154,6,11125.251122608483
synthetic_16_stops_s411,Local search,6.458632612754011,6.458632612754011,1.8234938897388472e-16,0.5380795562687224,5986.270187431278,5138.977340827871,8.24935014766386,4.174897341975268e-17,0.9999999999999999,0.0,15,5.5,5.5,32.72264244815021,5.132357500027865,,,17,True,1111111111111011,"6,5,6,5,6,5",16,I12,11,14,154,6,11125.251122608483
synthetic_16_stops_s411,MILP approximation,5.895128087022303,5.870557113720994,0.07020278086088103,0.5774522066648282,6424.300810450626,4700.946979905397,8.319552928524741,0.07020278086088089,0.9999999999999999,0.0,12,6.5,4.642857142857142,31.079427099262848,6.105238100048155,0.016171588537673226,,17,True,1111011101011011,"7,6,7,6,7,6",16,I12,11,14,154,6,11125.251122608483
synthetic_20_stops_s412,All-stops baseline,8.38264959916406,8.38264959916406,1.5474361170896523e-16,0.4011418983075108,3095.0195229196743,4620.500063143,8.449319669202078,4.242179310379958e-18,1.0000000000000002,0.0,20,3.25,10.0,37.20286420783108,0.0023979004472494125,,,17,True,11111111111111111111,"4,3,4,2",20,I13,11,13,143,4,7715.522950801484
synthetic_20_stops_s412,Greedy removal,7.771798433577438,7.7497471418440815,0.06300369066673273,0.44181602764948485,3408.841701361543,4306.67814933778,8.512323359868812,0.06300369066673257,1.0000000000000002,0.2766743715158127,15,3.25,10.0,34.456585601868284,0.1719233999028802,,,17,True,10101101011111110111,"4,3,4,2",20,I13,11,13,143,4,7715.522950801484
synthetic_20_stops_s412,Local search,7.323182606677774,7.323182606677774,1.5474361170896523e-16,0.46967893725528453,3623.818619901198,4091.7014596962654,8.449319669202078,4.242179310379958e-18,1.0000000000000002,0.0,19,5.0,6.0,36.1902565222653,58.18195299990475,,,17,True,10111111111111111111,"5,5,5,5",20,I13,11,13,143,4,7715.522950801484
synthetic_20_stops_s412,MILP approximation,6.452870091995797,6.41332284799814,0.11299212570759071,0.530085211324051,4089.88461385117,3625.6357860628104,8.56231179490967,0.11299212570759055,1.0000000000000002,0.2766743715158127,14,6.0,5.0,33.330308984418075,4.009774699807167,0.008610333854218588,,17,True,10101010101111110111,"6,6,6,6",20,I13,11,13,143,4,7715.522950801484
synthetic_24_stops_s413,All-stops baseline,9.52751874621141,9.52751874621141,1.4324482525183332e-16,0.3940581811088835,5223.724592565158,8032.50013184791,8.287484544988493,-1.5247123939141763e-17,1.0000000000000002,0.0,24,3.0,11.0,42.32028562500689,0.003986199852079153,,,18,True,111111111111111111111111,"4,3,4,2,2",24,I14,14,16,224,5,13256.226727397327
synthetic_24_stops_s413,Greedy removal,8.628468917008595,8.579436543612239,0.14009249541816118,0.44754876112899594,5932.807849091758,7323.414610545483,8.427577040406653,0.1400924954181611,1.0000000000000002,0.3778698241931015,17,3.0,11.0,38.316527293219444,0.3756841002032161,,,17,True,110111101101101011011101,"4,3,4,2,2",24,I14,14,16,224,5,13256.226727397327
synthetic_24_stops_s413,Local search,8.564177065357235,8.564177065357235,1.4324482525183332e-16,0.4491791417552438,5954.420544325256,7301.804492734245,8.287484544988493,-1.5247123939141763e-17,1.0000000000000002,0.0,23,4.0,7.5,41.139709147168944,5.324795899912715,,,18,True,111111111111101111111111,"4,4,4,4,4",24,I14,14,16,224,5,13256.226727397327
